Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1950","1950","1000 persons","6936.439","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1951","1951","1000 persons","6931.338","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1952","1952","1000 persons","6931.196","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1953","1953","1000 persons","6935.142","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1954","1954","1000 persons","6942.619","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1955","1955","1000 persons","6953.406","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1956","1956","1000 persons","6967.625","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 persons","6985.724","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 persons","7008.424","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 persons","7036.55","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1960","1960","1000 persons","7070.766","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1961","1961","1000 persons","7111.142","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1962","1962","1000 persons","7156.833","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1963","1963","1000 persons","7205.994","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1964","1964","1000 persons","7256.091","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1965","1965","1000 persons","7305.158","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1966","1966","1000 persons","7352.24","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1967","1967","1000 persons","7397.171","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 persons","7439.579","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 persons","7479.346","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 persons","7516.239","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1971","1971","1000 persons","7550.34","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1972","1972","1000 persons","7581.117","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1973","1973","1000 persons","7607.065","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1974","1974","1000 persons","7626.29","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1975","1975","1000 persons","7637.689","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1976","1976","1000 persons","7640.749","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1977","1977","1000 persons","7636.576","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1978","1978","1000 persons","7627.759","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 persons","7617.884","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 persons","7609.752","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 persons","7604.513","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 persons","7602.181","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1983","1983","1000 persons","7603.102","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1984","1984","1000 persons","7607.293","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1985","1985","1000 persons","7614.868","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1986","1986","1000 persons","7625.393","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1987","1987","1000 persons","7639.352","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1988","1988","1000 persons","7658.84","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1989","1989","1000 persons","7686.572","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1990","1990","1000 persons","7723.949","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1991","1991","1000 persons","7772.701","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1992","1992","1000 persons","7830.933","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1993","1993","1000 persons","7892.086","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1994","1994","1000 persons","7947.209","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1995","1995","1000 persons","7990.121","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1996","1996","1000 persons","8017.863","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1997","1997","1000 persons","8032.876","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1998","1998","1000 persons","8041.05","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1999","1999","1000 persons","8051.113","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 persons","8069.276","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 persons","8097.748","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 persons","8134.412","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 persons","8175.852","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2004","2004","1000 persons","8216.805","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2005","2005","1000 persons","8253.65","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2006","2006","1000 persons","8285.343","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2007","2007","1000 persons","8313.737","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2008","2008","1000 persons","8341.532","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 persons","8372.663","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 persons","8409.949","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 persons","8453.501","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 persons","8502.227","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","8556.189","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 persons","8615.214","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","8678.66","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 persons","8747.301","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","8819.901","X","International reliable sources",""
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","8891.388","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1950","1950","1000 persons","41833.882","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1951","1951","1000 persons","42031.191","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1952","1952","1000 persons","42315.6","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1953","1953","1000 persons","42654.662","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1954","1954","1000 persons","43024.816","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1955","1955","1000 persons","43411.367","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1956","1956","1000 persons","43808.989","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 persons","44221.227","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 persons","44659.046","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 persons","45138.438","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1960","1960","1000 persons","45673.146","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1961","1961","1000 persons","46266.981","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1962","1962","1000 persons","46907.042","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1963","1963","1000 persons","47560.826","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1964","1964","1000 persons","48184.418","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1965","1965","1000 persons","48746.652","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1966","1966","1000 persons","49232.539","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1967","1967","1000 persons","49651.083","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 persons","50024.582","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 persons","50387.448","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 persons","50763.92","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1971","1971","1000 persons","51162.568","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1972","1972","1000 persons","51573.265","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1973","1973","1000 persons","51979.527","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1974","1974","1000 persons","52356.796","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1975","1975","1000 persons","52688.576","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1976","1976","1000 persons","52969.317","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1977","1977","1000 persons","53208.554","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1978","1978","1000 persons","53423.112","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 persons","53637.069","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 persons","53868.009","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 persons","54121.013","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 persons","54391.471","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1983","1983","1000 persons","54675.371","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1984","1984","1000 persons","54965.164","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1985","1985","1000 persons","55254.848","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1986","1986","1000 persons","55545.273","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1987","1987","1000 persons","55837.627","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1988","1988","1000 persons","56126.325","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1989","1989","1000 persons","56404.304","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1990","1990","1000 persons","56666.849","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1991","1991","1000 persons","56913.587","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1992","1992","1000 persons","57147.213","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1993","1993","1000 persons","57370.381","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1994","1994","1000 persons","57587.131","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1995","1995","1000 persons","57801.892","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1996","1996","1000 persons","58012.058","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1997","1997","1000 persons","58220.659","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1998","1998","1000 persons","58444.246","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1999","1999","1000 persons","58704.381","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 persons","59015.096","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 persons","59384.132","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 persons","59803.441","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 persons","60251.588","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2004","2004","1000 persons","60697.981","X","International reliable sources",""
"OA","Annual population","68","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2005","2005","1000 persons","61120.127","X","International reliable sources",""
